,aggressive,normal,delta
max_abs_lat_accel,1.6769856659384272,-0.37419586026191115,2.0511815262003386
max_abs_heading_rate,1.6524305143848992,-0.368716722159504,2.021147236544403
heading_change_abs,1.5886981092896395,-0.35449572872135454,1.943193838010994
max_abs_lat_jerk,1.4192326027588278,-0.3166818747993936,1.7359144775582214
lateral_g_spike_count,1.0977681636504164,-0.24495158826264435,1.3427197519130607
max_abs_jerk,0.9885715303699426,-0.22058588916453908,1.2091574195344816
max_abs_accel,0.9773311263778081,-0.21807775046844913,1.1954088768462572
gamma,0.8716689953755821,-0.19450072604268617,1.0661697214182682
high_jerk_count,0.8011794171567477,-0.1787719640759964,0.9799513812327441
max_abs_long_accel,0.4383258108213862,-0.09780626464897307,0.5361320754703593
hard_accel_count,0.36995505925621225,-0.08255028916967945,0.4525053484258917
hard_brake_count,0.07019690114561634,-0.015663455177600014,0.08586035632321636
max_speed,-0.26033284743440255,0.058089628181548204,-0.3184224756159508
avg_speed,-0.40507915443634657,0.09038773899337658,-0.49546689342972317
displacement,-0.4388369945124983,0.09792032812902135,-0.5367573226415197
