feature,iqr_std,mutual_info,rf_importance,iqr_std_rank,mutual_info_rank,rf_importance_rank,avg_rank
max_abs_lat_accel,1.1976643367664,0.2006089089870915,0.15409970901507358,5.0,2.0,3.0,3.3333333333333335
gamma,1.121121857933925,0.1721424247858252,0.06715034841084726,6.0,4.0,4.0,4.666666666666667
hard_brake_count,0.0,0.2739351441099327,0.49034385577601414,15.5,1.0,1.0,5.833333333333333
max_abs_lat_jerk,0.9883527517334852,0.1146665010189507,0.030214879476991398,7.0,5.0,6.0,6.0
max_abs_heading_rate,0.8695973547723103,0.10637643120637397,0.035279854903775776,8.0,7.0,5.0,6.666666666666667
lateral_g_spike_count,0.0,0.19581825027941635,0.15832008584526366,15.5,3.0,2.0,6.833333333333333
max_abs_heading_delta,0.869597354772306,0.10638326719055735,0.02656584507421802,9.0,6.0,7.0,7.333333333333333
displacement,1.365027016692768,0.007038757301433218,0.0018620774622592302,1.0,13.0,13.0,9.0
heading_change_abs,0.6313258591416835,0.08032587252438894,0.009470253357612068,11.0,8.0,9.0,9.333333333333334
var_speed,0.8346125336714608,0.04913989274577446,0.014252789017182705,10.0,11.0,8.0,9.666666666666666
max_speed,1.3025749057687936,0.0040745885357100775,0.001991471632721911,4.0,14.0,12.0,10.0
avg_speed,1.362039828650505,0.0039043426899980638,0.001614443097038245,2.0,15.0,14.0,10.333333333333334
curvature_proxy,0.510645664915744,0.06343215535274993,0.004170036023195209,13.0,9.0,10.0,10.666666666666666
path_length,1.359608360066284,0.0016505641173454322,0.001322423697725573,3.0,16.0,15.0,11.333333333333334
avg_lat_accel,0.20943860117322372,0.05902627963048568,0.002080316687958842,14.0,10.0,11.0,11.666666666666666
avg_lat_jerk,0.6132191456597954,0.04590171128926457,0.0012616105221224336,12.0,12.0,16.0,13.333333333333334
