,aggressive,normal,delta
lateral_g_spike_count,1.1390721040767855,-0.4106877322288803,1.5497598363056657
max_abs_lat_accel,1.0696384179383849,-0.3856537040945653,1.4552921220329502
heading_change_abs,1.044491553935965,-0.3765871063674686,1.4210786603034335
max_abs_heading_rate,0.9829697482998531,-0.35440567399905953,1.3373754222989125
max_abs_lat_jerk,0.9334162199838211,-0.3365393544787994,1.2699555744626205
max_abs_accel,0.6817576538566218,-0.24580490013754536,0.9275625539941672
max_abs_jerk,0.6598428100468684,-0.23790359391279833,0.8977464039596668
max_abs_long_accel,0.6095371527070134,-0.2197660973862432,0.8293032500932566
gamma,0.595439814729167,-0.21468336053063564,0.8101231752598026
hard_accel_count,0.47852295584937454,-0.17252947100879254,0.6510524268581671
hard_brake_count,0.1691321387629791,-0.0609798925520047,0.2301120313149838
high_jerk_count,0.044488778793585176,-0.016040245044169718,0.060529023837754894
max_speed,-0.3304728423801787,0.11915061541284028,-0.449623457793019
avg_speed,-0.39902642211586875,0.14386732482663206,-0.5428937469425008
