k_pct,pair,size_a,size_b,intersection,jaccard,containment_ours_in_kdsc,containment_kdsc_in_ours,containment_ours_in_tdbm,containment_tdbm_in_ours,containment_kdsc_in_tdbm,containment_tdbm_in_kdsc
5,ours_vs_kdsc,620,620,55,0.046413502109704644,0.08870967741935484,0.08870967741935484,,,,
5,ours_vs_tdbm,620,620,48,0.040268456375838924,,,0.07741935483870968,0.07741935483870968,,
5,kdsc_vs_tdbm,620,620,36,0.029900332225913623,,,,,0.05806451612903226,0.05806451612903226
10,ours_vs_kdsc,1239,1239,230,0.10231316725978648,0.18563357546408393,0.18563357546408393,,,,
10,ours_vs_tdbm,1239,1239,184,0.08020924149956409,,,0.14850686037126715,0.14850686037126715,,
10,kdsc_vs_tdbm,1239,1239,141,0.06033376123234917,,,,,0.11380145278450363,0.11380145278450363
20,ours_vs_kdsc,2478,2478,966,0.24210526315789474,0.3898305084745763,0.3898305084745763,,,,
20,ours_vs_tdbm,2478,2478,619,0.14272538621166705,,,0.24979822437449556,0.24979822437449556,,
20,kdsc_vs_tdbm,2478,2478,538,0.12177455862381167,,,,,0.21711057304277642,0.21711057304277642
30,ours_vs_kdsc,3716,3716,2070,0.38604998135024243,0.5570505920344456,0.5570505920344456,,,,
30,ours_vs_tdbm,3716,3716,1271,0.20629767894822268,,,0.34203444564047364,0.34203444564047364,,
30,kdsc_vs_tdbm,3716,3716,1199,0.19236322798010588,,,,,0.32265877287405814,0.32265877287405814
