,aggressive,normal,delta
var_acceleration,14.057925796620907,-0.04162490939849188,14.099550706019398
gamma,13.238334006329092,-0.03919813360608837,13.27753213993518
max_abs_long_jerk,12.791083473891275,-0.037873844151122965,12.828957318042399
max_abs_jerk,12.518800248646347,-0.03706762531446688,12.555867873960814
max_abs_long_accel,10.976610615742764,-0.03250126860768057,11.009111884350444
max_abs_accel,10.917884228581928,-0.032327382318889805,10.950211610900817
max_abs_lat_jerk,4.005142065091964,-0.011859052181625149,4.0170011172735895
var_speed,3.8416914842303185,-0.011375082091163382,3.853066566321482
hard_accel_count,2.777610397568781,-0.008224384081675865,2.785834781650457
max_abs_lat_accel,2.6899302323952528,-0.007964766910252828,2.6978949993055057
hard_brake_count,1.5848536031239122,-0.004692682874721356,1.5895462859986336
high_jerk_count,1.2473191488544921,-0.003693257975123902,1.251012406829616
max_speed,0.9051372813400343,-0.002680072286199656,0.9078173536262341
lateral_g_spike_count,0.5714474886202296,-0.0016920312629286228,0.5731395198831583
avg_speed,0.09633275588789703,-0.0002852371177617483,0.09661799300565878
max_abs_heading_rate,0.0307159022587608,-9.09484562026426e-05,0.030806850714963443
